"description","title","type","emoji","published_at","is_published","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Appartenez a une entreprise vérifié et faite le savoir grâce au petit badge d'affiliation sur les profil","Creation des Affiliation ","feature","😃","2026-06-28","true","6a40ed1beb41e7e235b0f195","2026-06-28T09:44:59.403000","2026-06-28T09:44:59.403000","69f1997041a23db78013e433","enor@brenneaerial.fr","false"
"Nous avons créé une page avec tout les lien Brenne Aerial ","Page ecosystem brenne aerial","feature","","2026-06-18","true","6a33f1e06d70b8a45c6fdd26","2026-06-18T13:25:52.637000","2026-06-18T13:25:52.637000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Nous avons mis à jour tous les systèmes de réservation du planning","Mise a jour du planning","improvement","🗓️","2026-06-05","true","6a230c1063fee294f44e74b0","2026-06-05T17:49:04.767000","2026-06-05T17:49:04.767000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Accepter, refuser, terminer, supprimer avec confirmations et notifications immédiates","Nouvelles actions pour les devis","feature","⚡","2026-06-02","true","6a1ebae467cf9ada2a71d071","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Cherchez par client, email ou lieu. Filtrez par statut, type de service et tri par date ou urgence","Recherche avancée et filtres multiples pour les devis","feature","🔍","2026-06-02","true","6a1ebae467cf9ada2a71d06d","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Visualisez précisément le lieu de chaque devis avec une petite carte Leaflet directement dans le détail","Carte interactive pour la localisation des devis","feature","🗺️","2026-06-02","true","6a1ebae467cf9ada2a71d06f","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Design moderne avec cartes organisées, icônes éloquentes, informations détaillées du client, et bien plus","Modal de détail des devis complètement redessinée","improvement","✨","2026-06-02","true","6a1ebae467cf9ada2a71d070","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Les devis en attente depuis plus de 7 jours sont marqués comme URGENT pour faciliter le suivi","Indicateurs d'urgence pour les devis en attente","feature","🔴","2026-06-02","true","6a1ebae467cf9ada2a71d072","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Affichage des statistiques en direct : total, en attente, en cours, acceptés, refusés, terminés avec codes couleur et indicateurs d'urgence","Stats et indicateurs temps réel sur les devis","improvement","📊","2026-06-02","true","6a1ebae467cf9ada2a71d06c","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Suivi de la progression des devis avec une timeline visuelle montrant chaque étape du processus (en attente → accepté → terminé)","Timeline visuelle pour le suivi des devis","feature","📈","2026-06-02","true","6a1ebae467cf9ada2a71d06e","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Interface administrateur entièrement redessinée avec stats en temps réel, search avancé, filtres multiples et design moderne","Gestion des devis complètement refactorisée","improvement","📋","2026-06-02","true","6a1ebae467cf9ada2a71d06b","2026-06-02T11:13:40.568000","2026-06-02T11:13:40.568000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Le formulaire de devis intègre désormais une recherche mondiale avec suggestions automatiques et intégration cartographique.","Autocomplétion d'adresses","fix","🌍","2026-06-02","true","6a1ea29df05c0dfeda642d8d","2026-06-02T09:30:05.774000","2026-06-02T09:33:42.459000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Upload simplifié avec glisser-déposer, support d'URL externe, aperçu immédiat et gestion centralisée des images sur toute la plateforme.","Nouveau composant d'images","fix","🖼️","2026-06-02","true","6a1ea29df05c0dfeda642d8f","2026-06-02T09:30:05.774000","2026-06-02T09:31:33.941000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Plusieurs dizaines de corrections : sessions, appareils, notifications, emails, formulaires, permissions, synchronisations, IA, planning, devis et PDF.","Corrections de bugs — vague majeure","fix","🐛","2026-06-02","true","6a1ea29df05c0dfeda642d91","2026-06-02T09:30:05.774000","2026-06-02T09:30:05.774000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Documents plus professionnels, structure améliorée, meilleure lisibilité et optimisation des exports.","Génération PDF améliorée","fix","📄","2026-06-02","true","6a1ea29df05c0dfeda642d8e","2026-06-02T09:30:05.774000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Affichage des horaires officiels (10h-12h30 / 14h30-18h30, lun-sam) avec statut intelligent en temps réel : Ouvert, Pause, Préparation, Fermé.","Page contact repensée","fix","📞","2026-06-02","true","6a1ea29df05c0dfeda642d90","2026-06-02T09:30:05.774000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Stabilisation des services cloud, optimisation des performances globales, réduction des erreurs et préparation des futures évolutions de la plateforme.","Optimisations d'infrastructure","fix","☁️","2026-06-02","true","6a1ea29df05c0dfeda642d92","2026-06-02T09:30:05.774000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Navigation modernisée, interface plus fluide, moins de clics, accès plus rapide aux fonctionnalités et meilleure ergonomie sur smartphone et tablette.","Nouvelle expérience mobile","fix","📱","2026-06-02","true","6a1ea29df05c0dfeda642d80","2026-06-02T09:30:05.773000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Navigation plus rapide, affichage optimisé pour grands écrans, interface plus cohérente et meilleure gestion de l'espace de travail.","Expérience desktop améliorée","fix","💻","2026-06-02","true","6a1ea29df05c0dfeda642d81","2026-06-02T09:30:05.773000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Historique complet des actions, suivi des modifications, journalisation avancée avec filtres intelligents et recherche rapide pour les administrateurs.","Nouveau système d'audit","fix","📜","2026-06-02","true","6a1ea29df05c0dfeda642d85","2026-06-02T09:30:05.773000","2026-06-02T09:31:33.941000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Réponses plus précises, meilleure compréhension du contexte, optimisation des performances et réduction des erreurs.","ARIA — Réponses améliorées","fix","🤖","2026-06-02","true","6a1ea29df05c0dfeda642d87","2026-06-02T09:30:05.773000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"NEXUS est désormais intégré au système de monitoring avec vérifications automatiques, diagnostics améliorés et optimisation des performances.","NEXUS — Intégration monitoring","fix","🧠","2026-06-02","true","6a1ea29df05c0dfeda642d88","2026-06-02T09:30:05.773000","2026-06-02T09:31:33.928000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Nouveaux emails automatiques : confirmation devis, acceptation, refus, réservation confirmée/annulée/terminée. Design modernisé et plus professionnel.","Refonte complète des emails","fix","📧","2026-06-02","true","6a1ea29df05c0dfeda642d8b","2026-06-02T09:30:05.773000","2026-06-02T09:33:42.643000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Identification plus précise, affichage plus clair, révocation améliorée et actualisation plus rapide de vos appareils connectés.","Gestion des appareils connectés","fix","👥","2026-06-02","false","6a1ea29df05c0dfeda642d83","2026-06-02T09:30:05.773000","2026-06-28T09:43:43.527000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Gestion avancée des utilisateurs, des permissions, contrôle centralisé, outils de supervision et sécurité renforcée pour la direction.","Outils PDG & Direction renforcés","fix","👑","2026-06-02","false","6a1ea29df05c0dfeda642d84","2026-06-02T09:30:05.773000","2026-06-28T09:43:42.494000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Surveillance en temps réel de 10 services (ARIA, Nexus, Planning, Emails, PDF, Paiements...) avec détection automatique des anomalies et diagnostic IA.","Monitoring intelligent","fix","📊","2026-06-02","false","6a1ea29df05c0dfeda642d86","2026-06-02T09:30:05.773000","2026-06-28T09:43:43.049000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"L'assistant de réservation comprend maintenant les créneaux disponibles, accède aux infos du compte, confirme automatiquement et envoie les emails.","IA de planification améliorée","fix","📅","2026-06-02","true","6a1ea29df05c0dfeda642d89","2026-06-02T09:30:05.773000","2026-06-02T09:33:42.349000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Réservation simplifiée côté utilisateur, nouvelle gestion des rendez-vous côté admin, vue améliorée, statistiques et création rapide des créneaux.","Refonte du planning","fix","📆","2026-06-02","false","6a1ea29df05c0dfeda642d8a","2026-06-02T09:30:05.773000","2026-06-28T09:43:41.952000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Détection améliorée des appareils (Android, Windows, navigateurs), gestion des fingerprints optimisée, réduction des doublons et synchronisation plus fiable.","Refonte complète des sessions","fix","🔐","2026-06-02","false","6a1ea29df05c0dfeda642d82","2026-06-02T09:30:05.773000","2026-06-28T09:43:40.816000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"Protection contre les doublons, meilleure gestion des formulaires, validation renforcée et fiabilité accrue des enregistrements.","Système de devis amélioré","fix","🧾","2026-06-02","false","6a1ea29df05c0dfeda642d8c","2026-06-02T09:30:05.773000","2026-06-28T09:43:41.362000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
